latitude,longitude,state
34.35,79.45,Ladakh
37.05,74.65,Ladakh
21.75,69.55,Gujarat
35.75,78.45,Ladakh
32.75,78.45,Ladakh
28.25,97.25,Arunachal Pradesh
19.05,82.55,Odisha
22.05,92.65,Mizoram
31.55,78.35,Himachal Pradesh
35.65,73.25,Ladakh
28.850002,94.45,Arunachal Pradesh
27.45,84.25,Bihar
26.45,89.75,West Bengal
25.25,90.15,Meghalaya
34.55,77.45,Ladakh
24.25,69.15,Gujarat
27.149998,92.05,Arunachal Pradesh
21.649998,89.05,Unknown
15.75,80.95,Andhra Pradesh
19.55,81.35,Chhattishgarh
23.05,91.65,Tripura
31.75,77.35,Himachal Pradesh
20.05,82.55,Odisha
23.25,81.75,Madhya Pradesh
28.349998,95.85,Arunachal Pradesh
22.149998,78.65,Madhya Pradesh
23.25,84.75,Jharkhand
16.25,79.35,Andhra Pradesh
22.849998,71.15,Gujarat
24.25,88.65,West Bengal
35.75,80.05,Ladakh
28.149998,92.75,Arunachal Pradesh
28.05,88.55,Sikkim
22.25,80.55,Madhya Pradesh
25.95,93.35,Assam
33.45,73.65,Jammu and Kashmir
27.649998,82.65,Uttar Pradesh
26.55,90.45,Assam
16.55,82.25,Andhra Pradesh
