state,longitude,latitude,method,index_right,dtname,stname
UttarPradeshMadhyaPradeshRajasthan,75.15,21.45,constrained,50,Barwani,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,76.35,21.55,constrained,75,Burhanpur,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,75.65,21.65,constrained,371,West Nimar,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,75.55,21.85,constrained,371,West Nimar,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.25,21.95,constrained,57,Betul,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,74.75,22.05,constrained,50,Barwani,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,74.25,22.25,constrained,16,Alirajpur,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.35,22.25,constrained,155,Harda,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,79.45,22.25,constrained,310,Seoni,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.35,22.35,constrained,238,Mandla,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,75.55,22.45,constrained,111,Dhar,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,74.25,22.55,constrained,16,Alirajpur,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,75.65,22.65,constrained,165,Indore,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,75.85,22.65,constrained,165,Indore,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,76.55,22.65,constrained,107,Dewas,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.75,22.65,constrained,238,Mandla,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,75.85,22.75,constrained,165,Indore,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,75.05,22.85,constrained,111,Dhar,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.85,22.85,constrained,255,Narsimhapur,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,79.75,22.85,constrained,310,Seoni,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,76.05,22.95,constrained,107,Dewas,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.45,22.95,constrained,238,Mandla,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,76.95,23.05,constrained,309,Sehore,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.55,23.05,constrained,287,Raisen,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,74.35,23.15,constrained,44,Banswara,RAJASTHAN
UttarPradeshMadhyaPradeshRajasthan,75.75,23.15,constrained,356,Ujjain,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.55,23.15,constrained,63,Bhopal,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.15,23.15,constrained,287,Raisen,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,79.45,23.15,constrained,166,Jabalpur,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,79.95,23.15,constrained,166,Jabalpur,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.35,23.25,constrained,63,Bhopal,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.45,23.25,constrained,63,Bhopal,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,79.95,23.25,constrained,166,Jabalpur,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,75.05,23.35,constrained,295,Ratlam,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,81.15,23.45,constrained,357,Umaria,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,74.45,23.55,constrained,44,Banswara,RAJASTHAN
UttarPradeshMadhyaPradeshRajasthan,80.25,23.55,constrained,199,Katni,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,81.15,23.55,constrained,357,Umaria,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,76.75,23.65,constrained,289,Rajgarh,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,73.75,23.85,constrained,120,Dungarpur,RAJASTHAN
UttarPradeshMadhyaPradeshRajasthan,78.75,23.85,constrained,299,Sagar,MADHYA PRADESH
