state,longitude,latitude,method,index_right,dtname,stname
UttarPradeshMadhyaPradeshRajasthan,76.15,21.15,constrained,75,Burhanpur,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,76.25,21.15,constrained,75,Burhanpur,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,76.35,21.15,constrained,75,Burhanpur,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,76.45,21.15,constrained,75,Burhanpur,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,76.55,21.25,constrained,75,Burhanpur,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,76.65,21.25,constrained,75,Burhanpur,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,76.35,21.35,constrained,75,Burhanpur,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.65,21.35,constrained,33,Balaghat,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,75.15,21.45,constrained,50,Barwani,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,75.45,21.45,constrained,50,Barwani,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,75.95,21.45,constrained,371,West Nimar,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.55,21.45,constrained,57,Betul,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.05,21.45,constrained,57,Betul,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.45,21.45,constrained,33,Balaghat,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.65,21.45,constrained,33,Balaghat,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,75.45,21.55,constrained,50,Barwani,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,75.65,21.55,constrained,371,West Nimar,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,75.85,21.55,constrained,371,West Nimar,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,76.25,21.55,constrained,75,Burhanpur,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.75,21.55,constrained,85,Chhindwara,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.85,21.55,constrained,85,Chhindwara,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,79.55,21.55,constrained,33,Balaghat,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.65,21.55,constrained,33,Balaghat,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,74.75,21.65,constrained,50,Barwani,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,75.75,21.65,constrained,371,West Nimar,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,75.85,21.65,constrained,371,West Nimar,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,76.45,21.65,constrained,126,East Nimar,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,76.95,21.65,constrained,126,East Nimar,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,79.55,21.65,constrained,310,Seoni,MADHYA PRADESH
