state,longitude,latitude,method,index_right,dtname,stname
UttarPradeshMadhyaPradeshRajasthan,82.95,25.25,unconstrained,363,Varanasi,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,82.95,25.35,unconstrained,363,Varanasi,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.65,25.45,unconstrained,179,Jhansi,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,81.85,25.45,unconstrained,405,Prayagraj,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,81.95,25.45,unconstrained,405,Prayagraj,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.35,26.45,unconstrained,193,Kanpur Nagar,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.25,26.55,unconstrained,193,Kanpur Nagar,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.95,26.75,unconstrained,228,Lucknow,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,83.45,26.75,unconstrained,147,Gorakhpur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.85,26.85,unconstrained,228,Lucknow,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.95,26.85,unconstrained,228,Lucknow,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,81.05,26.85,unconstrained,228,Lucknow,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.95,26.95,unconstrained,228,Lucknow,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.95,27.15,unconstrained,12,Agra,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.05,27.15,unconstrained,12,Agra,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.35,27.15,unconstrained,132,Firozabad,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.05,27.25,unconstrained,12,Agra,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.65,27.55,unconstrained,240,Mathura,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.85,28.25,unconstrained,73,Bulandshahr,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,79.45,28.35,unconstrained,48,Bareilly,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.45,28.45,unconstrained,138,Gautam Buddha Nagar,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.85,28.45,unconstrained,73,Bulandshahr,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.35,28.55,unconstrained,138,Gautam Buddha Nagar,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.45,28.55,unconstrained,138,Gautam Buddha Nagar,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.35,28.65,unconstrained,140,Ghaziabad,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.45,28.65,unconstrained,140,Ghaziabad,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.75,28.75,unconstrained,243,Meerut,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.65,28.85,unconstrained,21,Amroha,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.75,28.85,unconstrained,245,Moradabad,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.25,28.95,unconstrained,31,Baghpat,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.75,28.95,unconstrained,243,Meerut,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.75,29.05,unconstrained,243,Meerut,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.75,29.45,unconstrained,248,Muzaffarnagar,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.65,26.05,unconstrained,131,Fatehpur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.55,26.25,unconstrained,193,Kanpur Nagar,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.85,27.75,unconstrained,329,Sitapur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.35,28.05,unconstrained,15,Aligarh,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,82.75,26.95,unconstrained,52,Basti,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,79.15,25.25,unconstrained,179,Jhansi,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,79.15,29.05,unconstrained,293,Rampur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.85,25.45,unconstrained,43,Banda,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,79.75,26.35,unconstrained,194,Kanpur Dehat,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.45,26.85,unconstrained,12,Agra,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.65,26.05,unconstrained,131,Fatehpur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,82.25,27.75,unconstrained,41,Balrampur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,83.55,25.35,unconstrained,139,Ghazipur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.75,29.75,unconstrained,300,Saharanpur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.55,26.35,unconstrained,359,Unnao,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,79.25,27.05,unconstrained,233,Mainpuri,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.85,30.25,unconstrained,300,Saharanpur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,83.85,27.35,unconstrained,540,Mahrajganj,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,79.45,25.15,unconstrained,232,Mahoba,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,79.55,27.75,unconstrained,314,Shahjahanpur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.65,27.75,unconstrained,329,Sitapur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.45,25.75,unconstrained,43,Banda,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.95,29.65,unconstrained,248,Muzaffarnagar,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,79.35,26.45,unconstrained,26,Auraiya,UTTAR PRADESH
