state_name,required_sensors
Andaman & Nicobar,4
Andhra Pradesh,126
Arunanchal Pradesh,4
Assam,143
Bihar,277
Chandigarh,7
Chhattisgarh,103
Dadara & Nagar Havelli,4
Daman & Diu,4
Goa,11
Gujarat,197
Haryana,123
Himachal Pradesh,43
Jammu & Kashmir,91
Jharkhand,140
Karnataka,209
Kerala,115
Lakshadweep,4
Madhya Pradesh,303
Maharashtra,308
Manipur,25
Meghalaya,25
Mizoram,9
NCT of Delhi,77
Nagaland,20
Odisha,169
Puducherry,10
Punjab,125
Rajasthan,226
Sikkim,4
Tamil Nadu,255
Telangana,97
Tripura,21
Uttar Pradesh,558
Uttarakhand,64
West Bengal,197
